1001|LAT123|101|102|2025-08-01T08:00|2025-08-01T09:45|534.2|nacional
1002|AVA456|201|101|2025-08-02T15:30|2025-08-02T18:00|1120.0|internacional
1003|PER789|101|301|2025-08-03T10:00|2025-08-03T16:30|1890.5|internacional
1004|COL234|201|401|2025-08-04T12:00|2025-08-04T18:45|2340.8|internacional
1005|ARG567|301|102|2025-08-05T09:30|2025-08-05T15:20|1890.5|internacional
1006|CHL890|401|501|2025-08-06T14:00|2025-08-06T17:30|1456.3|internacional
1007|ECU123|501|601|2025-08-07T11:00|2025-08-07T14:45|1234.7|internacional
1008|BOL456|601|701|2025-08-08T16:00|2025-08-08T21:30|2567.9|internacional
1009|BRA789|701|801|2025-08-09T13:00|2025-08-09T18:15|1987.6|internacional
1010|URU012|801|901|2025-08-10T10:30|2025-08-10T14:00|1123.4|internacional
1011|PAR345|901|1001|2025-08-11T15:00|2025-08-11T19:45|1876.2|internacional
1012|VEN678|1001|101|2025-08-12T08:45|2025-08-12T14:30|2234.1|internacional
1013|LIM901|103|202|2025-08-13T12:30|2025-08-13T17:15|1567.8|nacional
1014|CUS234|104|302|2025-08-14T09:00|2025-08-14T15:45|2109.3|nacional
1015|TRU567|105|402|2025-08-15T14:30|2025-08-15T20:00|2456.7|nacional
